   MULLIKEN OVERLAP POPULATIONS
  i      j                   value 
   18    11   -3.2432869311770468e-13
   18    12   -2.2227226693312965e-02
   18    13   -1.3274851010060235e-13
   18    14   -2.6567200523535601e-13
   18    15   -9.3775621541801156e-03
   18    16   -9.7647652632933269e-14
   18    17   -1.1903461875826412e-13
   18    18    4.2186627372349768e-03
   19     0   -9.1198790996713392e-16
   19     1   -6.1903103902943409e-16
   19     2   -5.4212028859088534e-16
   19     3    2.6761736599112192e-15
   19     4    2.9921046854907845e-15
   19     5    1.6375097393516501e-15
   19     6    4.6036064323445074e-16
   19     7   -2.2612401798910095e-03
   19     8    3.8959999135573448e-15
   19     9   -7.6859044305380023e-16
   19    10   -2.8381531085415641e-03
   19    11    5.6449590343479547e-15
   19    12   -1.1024431174257793e-15
   19    13   -1.7618312999526035e-03
   19    14    5.8281238347672291e-15
   19    15   -3.3533882071545913e-16
   19    16   -1.2721635443207921e-04
   19    17    4.0250559660083732e-15
   19    18    7.6692874029539957e-16
   19    19    2.3616490025374251e-04
   20     0    1.1665162208762818e-15
   20     1   -1.0762382469541635e-15
   20     2   -1.2299022887842061e-15
   20     3   -1.1925629873456644e-14
   20     4   -1.3004676976247719e-14
   20     5   -7.7142379669090506e-15
   20     6   -2.7864620938805337e-15
   20     7    4.0542593368997355e-15
   20     8   -2.2612401798592732e-03
   20     9    2.6430983739831699e-15
   20    10    5.1804974505749756e-15
   20    11   -2.8381531084964774e-03
   20    12    4.5163653015268794e-15
   20    13    3.4933238045785146e-15
   20    14   -1.7618312999084576e-03
   20    15    2.7571048451909841e-15
   20    16    6.7876448583843607e-16
   20    17   -1.2721635440379473e-04
   20    18   -1.3491972905272405e-15
   20    19   -1.8271384617739942e-16
   20    20    2.3616490026499905e-04
   21     0    6.0989185803553905e-03
   21     1    9.9436650646175502e-05
   21     2   -5.5621742120180750e-04
   21     3   -3.5735457653413544e-02
   21     4   -3.7448804530004945e-02
   21     5   -1.8568900943724070e-02
   21     6   -4.5969468663960003e-03
   21     7    4.0932435623706607e-14
   21     8   -2.1388079640704314e-13
   21     9    3.8636315735749885e-03
   21    10    4.2115214981202427e-14
   21    11   -2.9018258599903343e-13
   21    12    6.5163898488723336e-03
   21    13   -2.3903273661866760e-15
   21    14   -2.4706874917310778e-13
   21    15   -3.2404476648187487e-03
   21    16   -4.4449764829571253e-14
   21    17   -1.2173761944454079e-13
   21    18   -1.3999355550758381e-02
   21    19   -2.9951476578286825e-14
   21    20   -3.8023999996105896e-14
   21    21   -8.4390678663842592e-03
   22     0   -1.5289690295928005e-03
   22     1   -3.6115799793061099e-03
   22     2   -3.5112602564228118e-03
   22     3   -8.1061504305096517e-03
   22     4   -8.6913457693873642e-03
   22     5   -5.2429851632994542e-03
   22     6   -2.4107821865321437e-03
   22     7    4.0066903862264894e-16
   22     8    2.1446659140631675e-15
   22     9    1.4323214092810302e-02
   22    10    6.5700916408623791e-16
   22    11    3.0197397879451141e-15
   22    12    2.0634635555447693e-02
   22    13    8.7657749656412549e-16
